,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.10,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.20,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.40,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.70,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.80,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1.00
SIGMOID-RIGHT,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.9765625,-2.8359375,-2.6953125,-2.5546875,-2.4375,-2.34375,-2.2265625,-2.1328125,-2.0390625,-1.96875,-1.875,-1.8046875,-1.72265625,-1.65234375,-1.58203125,-1.51171875,-1.44140625,-1.3828125,-1.3125,-1.25390625,-1.1953125,-1.13671875,-1.078125,-1.01953125,-0.9609375,-0.90234375,-0.85546875,-0.796875,-0.75,-0.69140625,-0.64453125,-0.5859375,-0.5390625,-0.4921875,-0.439453125,-0.38671875,-0.33984375,-0.29296875,-0.24609375,-0.193359375,-0.140625,-0.09375,-0.046875,0.0,0.046875,0.09375,0.146484375,0.193359375,0.24609375,0.29296875,0.33984375,0.38671875,0.439453125,0.4921875,0.5390625,0.5859375,0.64453125,0.69140625,0.75,0.796875,0.85546875,0.90234375,0.9609375,1.01953125,1.078125,1.13671875,1.1953125,1.25390625,1.3125,1.3828125,1.44140625,1.51171875,1.58203125,1.65234375,1.72265625,1.8046875,1.875,1.96875,2.0390625,2.1328125,2.2265625,2.34375,2.4375,2.5546875,2.6953125,2.8359375,2.9765625,3.0,3.0,3.0,3.0,3.0,3.0,3.0
SIGMOID-LEFT,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.9765625,-2.8359375,-2.6953125,-2.5546875,-2.4375,-2.34375,-2.2265625,-2.1328125,-2.0390625,-1.96875,-1.875,-1.8046875,-1.72265625,-1.65234375,-1.58203125,-1.51171875,-1.44140625,-1.3828125,-1.3125,-1.25390625,-1.1953125,-1.13671875,-1.078125,-1.01953125,-0.9609375,-0.90234375,-0.85546875,-0.796875,-0.75,-0.69140625,-0.64453125,-0.5859375,-0.5390625,-0.4921875,-0.439453125,-0.38671875,-0.33984375,-0.29296875,-0.24609375,-0.193359375,-0.146484375,-0.09375,-0.046875,0.0,0.046875,0.09375,0.140625,0.193359375,0.24609375,0.29296875,0.33984375,0.38671875,0.439453125,0.4921875,0.5390625,0.5859375,0.64453125,0.69140625,0.75,0.796875,0.85546875,0.90234375,0.9609375,1.01953125,1.078125,1.13671875,1.1953125,1.25390625,1.3125,1.3828125,1.44140625,1.51171875,1.58203125,1.65234375,1.72265625,1.8046875,1.875,1.96875,2.0390625,2.1328125,2.2265625,2.34375,2.4375,2.5546875,2.6953125,2.8359375,2.9765625,3.0,3.0,3.0,3.0,3.0,3.0,3.0
SIGMOID-TAIL,-3.0,-3.0,-3.0,-3.0,-3.0,-2.9765625,-2.8125,-2.6484375,-2.53125,-2.390625,-2.28515625,-2.1796875,-2.0859375,-1.9921875,-1.91015625,-1.828125,-1.74609375,-1.67578125,-1.60546875,-1.53515625,-1.46484375,-1.40625,-1.34765625,-1.27734375,-1.21875,-1.171875,-1.11328125,-1.0546875,-1.0078125,-0.94921875,-0.90234375,-0.849609375,-0.796875,-0.75,-0.703125,-0.65625,-0.609375,-0.5625,-0.515625,-0.46875,-0.427734375,-0.380859375,-0.33984375,-0.29296875,-0.24609375,-0.205078125,-0.1640625,-0.1171875,-0.076171875,-0.03515625,0.01171875,0.05859375,0.09375,0.140625,0.1875,0.228515625,0.26953125,0.31640625,0.36328125,0.404296875,0.4453125,0.4921875,0.5390625,0.5859375,0.6328125,0.6796875,0.7265625,0.7734375,0.8203125,0.87890625,0.92578125,0.97265625,1.03125,1.08984375,1.13671875,1.1953125,1.25390625,1.3125,1.3828125,1.44140625,1.51171875,1.5703125,1.640625,1.72265625,1.8046875,1.88671875,1.96875,2.0625,2.16796875,2.2734375,2.390625,2.53125,2.671875,2.8359375,3.0,3.0,3.0,3.0,3.0,3.0
SIGMOID-MID,-3.0,-3.0,-3.0,-3.0,-3.0,-2.8359375,-2.671875,-2.53125,-2.390625,-2.2734375,-2.16796875,-2.0625,-1.96875,-1.88671875,-1.8046875,-1.72265625,-1.640625,-1.5703125,-1.51171875,-1.44140625,-1.3828125,-1.3125,-1.25390625,-1.1953125,-1.13671875,-1.08984375,-1.03125,-0.97265625,-0.92578125,-0.87890625,-0.8203125,-0.7734375,-0.7265625,-0.6796875,-0.6328125,-0.5859375,-0.5390625,-0.4921875,-0.4453125,-0.404296875,-0.36328125,-0.31640625,-0.26953125,-0.228515625,-0.1875,-0.140625,-0.09375,-0.05859375,-0.01171875,0.03515625,0.076171875,0.1171875,0.1640625,0.205078125,0.24609375,0.29296875,0.33984375,0.380859375,0.427734375,0.46875,0.515625,0.5625,0.609375,0.65625,0.703125,0.75,0.796875,0.849609375,0.90234375,0.94921875,1.0078125,1.0546875,1.11328125,1.171875,1.21875,1.27734375,1.34765625,1.40625,1.46484375,1.53515625,1.60546875,1.67578125,1.74609375,1.828125,1.91015625,1.9921875,2.0859375,2.1796875,2.28515625,2.390625,2.53125,2.6484375,2.8125,2.9765625,3.0,3.0,3.0,3.0,3.0,3.0
